FIN-ID #,ORGANIZATION,NAME OF EVENT,DATE,VENUE,AWARDED,TRANSACTION ID,UPDATED
23864,Biomedical Engineering Society (BMES),BioWorks First Committee Meeting,10/07/2025 12:00 AM,PFBH Room 291,$199.34,,5/30/2025 11:43:58 PM
23894,Undergraduate Women in Computing at UC San Diego,Project Teams Kickoff,10/07/2025 12:00 AM,CSE B225,$377.13,,5/30/2025 1:48:37 PM
23919,ArtSpark,Tote Bag Decorating Social,10/07/2025 12:00 AM,Student Center Courtyard,$325.57,,5/30/2025 11:17:17 PM
23928,Pre-Pharmacy Society @ UC San Diego,Cancer Awareness Month Workshop!,10/07/2025 12:00 AM,Price Center Red Shoe Room,$54.28,,5/30/2025 11:05:36 PM
23948,Eclipse Analytics @ UC San Diego,Eclipse Analytics GBM,10/07/2025 12:00 AM,ERC Room,$400.00,,5/30/2025 8:07:50 PM
23986,Japanese Student Association,Wakaba Aihara,10/07/2025 12:00 AM,Price Center Warren College Room,$126.45,,5/30/2025 10:56:00 PM
24004,Undergraduate Bioinformatics Club (UBIC),Week 2 Workshop,10/07/2025 12:00 AM,Zweifach Library,$171.32,,5/30/2025 11:37:01 PM
24009,Triton Tails - Furries at UC San Diego,Triton Tails Fall Kickoff,10/07/2025 12:00 AM,Green Table Room,$397.78,,5/30/2025 11:39:32 PM
24020,Association for Computing Machinery (ACM),ACM AI Kickoff,10/07/2025 12:00 AM,Fishbowl (CSE B225),$592.62,,5/30/2025 11:47:51 PM
24055,Students for Global Health,Students for Global Health GBM #1,10/07/2025 12:00 AM,Warren College Room,$130.21,,6/19/2025 1:09:05 PM
24065,Phi Sigma Pi,FA25 Recruitment Events,10/07/2025 12:00 AM,Governance Chambers,$36.68,,6/20/2025 2:18:11 AM
* 23800,Video Game Development Club (VGDC) at UC San Diego,Fall TritonWare Kickoff,10/08/2025 12:00 AM,Price Center - Ballroom East,"$1,064.93",,5/30/2025 10:04:57 PM
23741,Alpha Epsilon Delta Pre-Health Professional Honor Society,Alpha Epsilon Delta GBM#1 Exploring Different Healthcare Pathways,10/08/2025 12:00 AM,Price Center Theater,$845.27,,5/14/2025 9:46:17 AM
23745,Alpha Miracle Foundation (AMF) @ UC San Diego,Fall 2025 GBM #1,10/08/2025 12:00 AM,Price Center - Red Shoe Room,$591.55,,5/15/2025 2:14:49 PM
23776,Undergraduate Women in Computing at UC San Diego,Speed Friending Social,10/08/2025 12:00 AM,CSE B225,$150.85,,5/27/2025 9:56:32 PM
23802,Emergency Medical Services at UC San Diego,Fall '25 GBM #1,10/08/2025 12:00 AM,Price Center Green Table Room,$312.48,,5/28/2025 11:33:53 PM
23822,Mixed Student Union,Identitea,10/08/2025 12:00 AM,Cross Cultural Center,$219.30,,5/30/2025 4:27:20 PM
23836,Pre-Pharmacy Society @ UC San Diego,Why Pharmacy? GBM,10/08/2025 12:00 AM,Price Center Marshall Room,$266.68,,5/29/2025 7:17:03 PM
23850,Biomedical Engineering Society (BMES),Graduate School Workshop #1,10/08/2025 12:00 AM,PFBH 391,$107.75,,5/30/2025 11:39:41 PM
23856,"Brain Exercise Initiative, The",Brain Exercise Initiative Fall GBM 2025,10/08/2025 12:00 AM,Bear Room,$185.33,,5/29/2025 11:54:05 PM
23865,Biomedical Engineering Society (BMES),New Student Committee First Committee Meeting,10/08/2025 12:00 AM,PFBH Room 291,$135.77,,5/30/2025 11:44:32 PM
23868,Biomedical Engineering Society (BMES),Project Team First Committee Meeting,10/08/2025 12:00 AM,PFBH Room 291,$296.31,,5/30/2025 11:48:18 PM
23871,Biomedical Engineering Society (BMES),Social First Committee Meetingg,10/08/2025 12:00 AM,Powell-Focht Bioengineering Hall Rm 291,$95.04,,5/30/2025 11:47:29 PM
