FIN-ID #,ORGANIZATION,NAME OF EVENT,DATE,VENUE,AWARDED,TRANSACTION ID,UPDATED,
21225,Undergraduate Bioinformatics Club (UBIC),UBIC Faculty Mixer,20231128T00:00:00Z                 11/28/2023 12:00 AM,Price Center Ballroom East,"$1,903.94",,20231020T13:26:23Z                     10/20/2023 1:26:23 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
21226,Fusheng Chinese Drama Troupe,Fusheng 2023 Fall Theatre Performance,20231202T00:00:00Z                 12/02/2023 12:00 AM,Price Center-Ballroom | East,$712.50,,20231017T18:48:27Z                     10/17/2023 6:48:27 PM,Final                                                                                                                                      Details
21227,Asian and Pacific Islander Student Alliance (APSA),APSA GBM 5,20231128T00:00:00Z                 11/28/2023 12:00 AM,Cross Cultural Center,$223.58,,20231017T19:25:30Z                     10/17/2023 7:25:30 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
21228,Cheese Club,Let's Gouda the Movies!,20231201T00:00:00Z                 12/01/2023 12:00 AM,green room,$176.06,,20231017T20:04:42Z                     10/17/2023 8:04:42 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
21232,Mixed Student Union,MSU Cultural Night,20231129T00:00:00Z                 11/29/2023 12:00 AM,Eleanor Roosevelt College Room,$527.98,,20231018T17:24:00Z                     10/18/2023 5:24:00 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
21233,Mixed Student Union,MSU Movie Night,20231206T00:00:00Z                 12/06/2023 12:00 AM,Cross Cultural Center,$187.38,,20231023T17:18:41Z                     10/23/2023 5:18:41 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
21234,Malaysian Student Association,End of Quarter Social,20231130T00:00:00Z                 11/30/2023 12:00 AM,Stage Room,$291.95,,20231020T23:03:59Z                     10/20/2023 11:03:59 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
21236,Graphite,Week 10 GBM,20231204T00:00:00Z                 12/04/2023 12:00 AM,NSB Atrium,$445.00,,20231019T00:03:34Z                     10/19/2023 12:03:34 AM,Final                                                                                                                                      Details
21237,Undergraduate Bioinformatics Club (UBIC),Bioinformatics Workshop 4: Genome Project,20231130T00:00:00Z                 11/30/2023 12:00 AM,PFBH Zweifach Library,$100.00,,20231019T14:21:44Z                     10/19/2023 2:21:44 PM,Final                                                                                                                                      Details
21238,Boardgames and Boba @ UC San Diego,Tammy Bui,20231204T00:00:00Z                 12/04/2023 12:00 AM,Price Center Ballroom West A,$592.83,,20231019T23:58:45Z                     10/19/2023 11:58:45 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
21241,Pilipino Undergraduate Society for Health,PUSH GBM Week 9,20231201T00:00:00Z                 12/01/2023 12:00 AM,Price Center - Bear Room,$140.97,,20231020T10:49:44Z                     10/20/2023 10:49:44 AM,Final                                                                                                                                      Details                                                                                         Post-Eval
21242,American Institute of Chemical Engineers (AIChE),Cross-Club Social,20231129T00:00:00Z                 11/29/2023 12:00 AM,SME 248,$171.24,,20231020T11:30:49Z                     10/20/2023 11:30:49 AM,Final                                                                                                                                      Details
21243,Biomedical Engineering Society (BMES),BMES Fall GBM #2,20231130T00:00:00Z                 11/30/2023 12:00 AM,PC Theater,$374.97,,20231020T23:26:29Z                     10/20/2023 11:26:29 PM,Final                                                                                                                                      Details                                                                                         Post-Eval
21244,Society of Women Engineers (SWE),SWE Holiday Social,20231127T00:00:00Z                 11/27/2023 12:00 AM,Qualcomm Room in Jacobs Hall,$77.96,,20231020T14:13:26Z                     10/20/2023 2:13:26 PM,Final                                                                                                                                      Details
